,Latent Variable,,,,,,
,,,,,,,
,,,,,,,
,Latent Variable,,,,,,
,,,,,,,
,Case ID,Attitude Toward Local Brand (ATLB),Consumer Ethnocentrism (CET),Gov. Buy Local Campaign Effectiveness  (PBLCE),Local Fashion Brand Love (LFBL),Perceived Price Fairness (PPF),Perceived Product Quality (PPQ)
,99,-0.930759361170356,1.4540986247761,0.398522217502637,1.00427294588862,1.61674651229944,1.54461501871336
,100,1.50658671659615,0.403923468703766,-1.34868335451653,0.428812785364369,0.330179143320971,0.183662547578678
,101,-1.40280568092217,-0.0775619069618494,0.199518802632207,0.15062369911232,0.333228400181086,1.23700072472545
,102,-1.72584656044528,-0.568173698886709,-0.819151904398312,-0.109149978246931,0.420918853332176,0.20913764743335
,103,-0.346682795369344,-0.599365873443164,-0.445783853967943,0.716683312412365,-0.306877324813336,-0.0984766465545518
,104,-1.99160071379229,-2.1875853969403,-1.6491998224803,1.57334718908811,-1.52646040525809,0.115451180036459
,105,-0.109629921924566,-1.19006348227674,-0.159558316901167,0.481073410173064,-0.886354680263666,0.362171292528555
,106,-1.72584656044528,-1.40593044876223,-1.6491998224803,0.74993530142568,-0.618718092951241,0.183662547578678
,107,1.50658671659615,0.63734575169117,1.33008318867797,0.185821269177197,0.691604697504716,0.122768366082872
,108,-1.68334361330368,0.108974562100149,0.140958151062603,-0.123198403091304,0.0451430535206738,0.37913048801993
,109,-0.612137142319545,-0.842461334264346,-0.804860973501317,-1.81974399527072,0.0451430535206738,0.761995874572992
,110,0.156124231422446,-0.661692292685716,1.33008318867797,1.04276603942468,-0.239893036279624,-0.369195679560964
,111,-0.414634446304452,0.119962655492351,0.757632114544418,-1.86704440912841,0.667849276027223,1.54461501871336
,112,1.50658671659615,-0.123647925260916,-1.04816688655276,-1.20336933821354,-0.306877324813336,-0.420447851611808
,113,0.475523959219058,-1.2361495005758,1.33008318867797,-0.123198403091304,-1.52646040525809,-0.420447851611808
,114,-1.19433825375125,-2.1875853969403,-0.246747661589106,-1.27209979086347,-1.52646040525809,-0.420447851611808
,115,-0.665305014220154,-0.0775619069618494,-1.34868335451653,-0.398966086346489,0.333228400181086,-0.348435481330683
,116,0.127422951520212,0.108974562100149,-0.145267386004173,1.29952508688449,0.0451430535206738,1.23700072472545
,117,-1.46009240709827,-0.366743386082099,-0.445783853967943,0.421431171416497,0.0451430535206738,0.37913048801993
,118,-2.5339518413975,0.456576710112539,-1.10537744146509,-0.123198403091304,0.976640787305013,-0.112833557623906
,119,-1.46167413168702,-0.366743386082099,-0.218118968470771,-1.27511442076292,0.0451430535206738,-0.112833557623906
,120,0.419519151234902,-0.961861865198167,1.33008318867797,0.733746367156183,-1.15068460544659,0.632890325534968
,121,-0.136155941060686,-3.056991511434,-0.431492923070948,-0.123198403091304,-3.09806386403685,-0.967465072045393
,122,-0.665305014220154,0.22837509303397,-0.159558316901167,-0.123198403091304,1.24097071248793,1.54461501871336
,123,0.198327372167236,0.65800702291715,1.04385765161119,0.471746215173631,0.600864987493511,1.00139880101868
,124,-0.109629921924566,-2.5500813886953,-0.159558316901167,-0.397020505294927,-2.37026768589134,-2.06677823916375
,125,-1.72584656044528,-2.1875853969403,-1.36297428541353,0.412342957523132,-1.52646040525809,-1.29527728380871
,126,1.50658671659615,1.17981098939846,1.33008318867797,-0.123198403091304,1.24097071248793,-1.15505354598536
,127,-1.19463806014806,0.683431769990237,-0.445783853967943,0.733465473584444,1.33171042249914,0.194780736363996
,128,1.50658671659615,0.0681092097099158,-0.330012647486015,-0.123198403091304,0.0307928078929161,-0.112833557623906
,129,0.670373691919046,0.202493155899155,-0.344270800874603,-0.384917661502116,0.705954943132474,-1.46266783997326
,130,1.50658671659615,-0.475155823623717,0.78629358517116,1.29952508688449,-0.527978382940036,0.183662547578678
,131,0.127422951520212,0.398156041220398,-0.159558316901167,1.29952508688449,0.333228400181086,1.23700072472545
,132,1.50658671659615,0.595680603674598,0.140958151062603,-1.21075095216141,0.667849276027223,1.54461501871336
,133,-1.19433825375125,0.383262197477786,-1.93542535954708,-0.4110689301393,0.420918853332176,0.143528564313153
,134,-1.72584656044528,-0.842461334264346,-1.6491998224803,1.29952508688449,0.0451430535206738,-0.987662989820804
,135,0.127422951520212,-1.19006348227674,0.140958151062603,-0.106135348347485,-0.886354680263666,-0.0302652790123333
,136,0.381434864765603,-0.165313073277488,0.45708286907224,1.00427294588862,-0.330632746290829,0.684142497585811
,137,0.685457277350356,-0.366743386082099,1.33008318867797,0.133560644368501,0.0451430535206738,-1.20630571803621
,138,0.156124231422446,-0.366743386082099,-0.504344505537547,0.45992426495256,0.0451430535206738,0.67942759596142
,139,0.222793964165611,0.108974562100149,0.112296680435861,-0.397020505294927,0.0451430535206738,0.745036679081617
,140,0.696899711055166,0.9050661639591,0.398522217502637,1.00427294588862,1.0610245783266,-0.280224113788465
,141,0.696899711055166,-0.440057898716852,0.412925534740792,0.454683160429813,-0.510578880452163,-0.112833557623906
,142,0.711499517321224,0.745758189232789,0.384264064114049,0.781046781013872,1.26472613396543,-0.112833557623906
,143,0.459846837610388,-0.366743386082099,0.786260807662753,-0.367854606758297,0.0451430535206738,-0.112833557623906
,144,0.670073885522236,1.4540986247761,0.45708286907224,0.754895512376688,1.61674651229944,1.05265097306952
