Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Latent Variable;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Case ID;Attitude Toward Local Brand (STLB);Consumer Ethnocentrism (CET);Gov. Buy Local Campaign Effectiveness (PBLCE);Local Fashion Brand Love (LFBL);Perceived Price Fairness (PPF);Perceived Product Quality (PPQ);;;;;;;;;;;;;
260;-0,546;-1,498;-0,751;-1,765;-0,997;-0,652;;;;;;;;;;;;;
261;0,220;-0,090;1,294;0,099;-0,182;-1,144;;;;;;;;;;;;;
262;-0,254;0,374;0,810;-0,386;-0,270;-0,050;;;;;;;;;;;;;
263;1,422;1,146;-0,944;0,829;-0,245;0,715;;;;;;;;;;;;;
264;0,508;1,149;1,294;1,530;0,909;1,492;;;;;;;;;;;;;
265;-0,982;-0,488;-0,098;-1,688;-0,599;-1,387;;;;;;;;;;;;;
266;-0,547;-0,364;-1,295;-1,471;-1,187;-0,335;;;;;;;;;;;;;
267;0,155;0,875;-0,067;0,908;-1,467;0,440;;;;;;;;;;;;;
268;-1,265;0,205;-0,419;-1,765;-1,598;-1,662;;;;;;;;;;;;;
269;-2,324;-0,070;-1,103;0,406;-1,648;-3,320;;;;;;;;;;;;;
270;-1,277;0,617;-0,158;-1,255;-1,276;-1,906;;;;;;;;;;;;;
271;0,470;-0,401;1,294;1,530;1,238;1,006;;;;;;;;;;;;;
272;-0,015;0,211;-0,309;0,129;-0,245;-0,286;;;;;;;;;;;;;
273;-0,547;-0,696;-0,176;-0,251;-1,145;0,190;;;;;;;;;;;;;
274;0,263;1,044;1,052;-0,062;0,003;0,191;;;;;;;;;;;;;
275;-0,063;-0,636;-0,176;-0,118;0,282;-0,085;;;;;;;;;;;;;
276;-1,548;-0,325;-1,405;-2,579;-1,276;-1,177;;;;;;;;;;;;;
277;1,422;1,319;1,294;1,530;1,245;1,492;;;;;;;;;;;;;
278;-0,999;-0,090;-0,419;-0,602;-1,269;-0,853;;;;;;;;;;;;;
279;1,422;1,022;-0,278;1,530;-1,513;-0,044;;;;;;;;;;;;;
280;0,682;-0,060;-0,343;0,211;0,555;1,492;;;;;;;;;;;;;
281;1,422;0,712;0,795;1,020;1,518;0,965;;;;;;;;;;;;;
282;0,155;0,476;-0,176;-0,216;-0,072;-0,085;;;;;;;;;;;;;
283;1,422;0,750;0,175;0,674;-0,889;0,475;;;;;;;;;;;;;
284;-0,982;0,338;-1,889;-0,953;-1,226;-1,695;;;;;;;;;;;;;
285;-1,548;-0,289;-1,647;-1,765;-1,878;-1,662;;;;;;;;;;;;;
286;0,155;-1,003;0,175;-0,118;0,289;1,006;;;;;;;;;;;;;
287;0,459;0,852;0,413;0,614;-0,270;-0,577;;;;;;;;;;;;;
288;0,672;0,486;1,294;1,020;0,239;0,440;;;;;;;;;;;;;
289;0,220;0,921;-0,400;0,125;-0,592;0,239;;;;;;;;;;;;;
290;0,199;0,845;0,190;-0,334;-0,270;0,682;;;;;;;;;;;;;
291;0,666;0,845;0,413;0,687;0,966;0,400;;;;;;;;;;;;;
292;0,421;-0,168;0,367;0,176;1,238;1,249;;;;;;;;;;;;;
293;0,486;0,384;0,700;0,367;0,594;0,689;;;;;;;;;;;;;
294;-0,063;0,214;0,323;0,164;0,884;0,123;;;;;;;;;;;;;
295;0,725;0,201;0,462;0,428;0,966;0,689;;;;;;;;;;;;;
296;0,634;-1,007;0,062;0,990;0,158;1,000;;;;;;;;;;;;;
297;0,666;0,401;0,413;0,687;0,966;0,400;;;;;;;;;;;;;
298;0,421;0,843;0,367;0,176;1,238;1,249;;;;;;;;;;;;;
299;0,486;0,182;0,700;0,367;0,594;0,689;;;;;;;;;;;;;
300;-0,063;0,173;0,323;0,164;0,884;0,123;;;;;;;;;;;;;
301;0,725;1,591;0,462;0,428;0,966;0,689;;;;;;;;;;;;;
